,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps
27,2017.0,1.0,1.2109375,-3.427734375,2.685546875,-0.701171875,0.8600000000000001
28,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,0.853515625,0.7
29,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,-0.701171875,0.794
30,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,-0.146484375,0.734
31,2017.0,1.0,-18.7890625,3.466796875,-2.314453125,-0.146484375,0.778
32,2017.0,1.0,-1.2109375,1.572265625,-2.314453125,-0.146484375,0.74
33,2017.0,1.0,-1.2109375,3.466796875,2.958984375,-0.146484375,0.8160000000000001
34,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,0.298828125,0.7
35,2017.0,1.0,-1.2109375,1.572265625,2.958984375,0.298828125,0.786
36,2017.0,1.0,-18.7890625,3.466796875,2.958984375,0.298828125,0.8220000000000001
37,2017.0,1.0,-18.7890625,1.572265625,-2.314453125,0.298828125,0.748
38,2017.0,1.0,-18.7890625,1.572265625,2.958984375,-0.146484375,0.8600000000000001
39,2017.0,1.0,-18.7890625,1.572265625,2.958984375,0.298828125,0.8260000000000001
40,2017.0,1.0,-6.2109375,-0.283203125,-3.564453125,-0.396484375,0.758
41,2017.0,1.0,-13.7890625,-0.283203125,-3.564453125,-0.396484375,0.776
42,2017.0,1.0,-6.2109375,2.822265625,-3.564453125,-0.396484375,0.748
43,2017.0,1.0,-6.2109375,-0.283203125,-0.791015625,-0.396484375,0.8
44,2017.0,1.0,-6.2109375,-0.283203125,-3.564453125,-0.951171875,0.8
45,2017.0,1.0,-6.2109375,2.822265625,-0.791015625,-0.951171875,0.8360000000000001
46,2017.0,1.0,-13.7890625,-0.283203125,-0.791015625,-0.951171875,0.8600000000000001
47,2017.0,1.0,-13.7890625,2.822265625,-3.564453125,-0.951171875,0.812
48,2017.0,1.0,-13.7890625,2.822265625,-0.791015625,-0.396484375,0.81
49,2017.0,1.0,-13.7890625,2.822265625,-0.791015625,-0.951171875,0.8540000000000001
50,2017.0,1.0,13.7890625,4.716796875,1.435546875,0.603515625,0.7
51,2017.0,1.0,6.2109375,4.716796875,1.435546875,0.603515625,0.714
52,2017.0,1.0,13.7890625,-2.177734375,1.435546875,0.603515625,0.72
53,2017.0,1.0,13.7890625,4.716796875,4.208984375,0.603515625,0.74
54,2017.0,1.0,13.7890625,4.716796875,1.435546875,0.048828125,0.738
55,2017.0,1.0,13.7890625,-2.177734375,4.208984375,0.048828125,0.798
56,2017.0,1.0,6.2109375,4.716796875,4.208984375,0.048828125,0.8
57,2017.0,1.0,6.2109375,-2.177734375,1.435546875,0.048828125,0.776
58,2017.0,1.0,6.2109375,-2.177734375,4.208984375,0.603515625,0.776
59,2017.0,1.0,6.2109375,-2.177734375,4.208984375,0.048828125,0.8140000000000001
60,2017.0,1.0,3.7890625,-2.783203125,-1.064453125,-0.896484375,0.8160000000000001
61,2017.0,1.0,16.2109375,-2.783203125,-1.064453125,-0.896484375,0.788
62,2017.0,1.0,3.7890625,-4.677734375,-1.064453125,-0.896484375,0.8200000000000001
63,2017.0,1.0,3.7890625,-2.783203125,-3.291015625,-0.896484375,0.782
64,2017.0,1.0,3.7890625,-2.783203125,-1.064453125,0.548828125,0.71
65,2017.0,1.0,3.7890625,-4.677734375,-3.291015625,0.548828125,0.7
66,2017.0,1.0,16.2109375,-2.783203125,-3.291015625,0.548828125,0.7
67,2017.0,1.0,16.2109375,-4.677734375,-1.064453125,0.548828125,0.7
68,2017.0,1.0,16.2109375,-4.677734375,-3.291015625,-0.896484375,0.76
69,2017.0,1.0,16.2109375,-4.677734375,-3.291015625,0.548828125,0.7
70,2017.0,1.0,-16.2109375,2.216796875,3.935546875,0.103515625,0.8480000000000001
71,2017.0,1.0,-3.7890625,2.216796875,3.935546875,0.103515625,0.8200000000000001
72,2017.0,1.0,-16.2109375,0.322265625,3.935546875,0.103515625,0.8520000000000001
73,2017.0,1.0,-16.2109375,2.216796875,1.708984375,0.103515625,0.8160000000000001
74,2017.0,1.0,-16.2109375,2.216796875,3.935546875,-0.451171875,0.8900000000000001
75,2017.0,1.0,-16.2109375,0.322265625,1.708984375,-0.451171875,0.8620000000000001
76,2017.0,1.0,-3.7890625,2.216796875,1.708984375,-0.451171875,0.8300000000000001
77,2017.0,1.0,-3.7890625,0.322265625,3.935546875,-0.451171875,0.8640000000000001
78,2017.0,1.0,-3.7890625,0.322265625,1.708984375,0.103515625,0.792
79,2017.0,1.0,-3.7890625,0.322265625,1.708984375,-0.451171875,0.8320000000000001
80,2017.0,1.0,-17.4609375,-3.095703125,-4.501953125,-0.083984375,0.754
81,2017.0,1.0,4.9609375,-3.095703125,-4.501953125,-0.083984375,0.702
82,2017.0,1.0,-17.4609375,-2.490234375,-4.501953125,-0.083984375,0.752
83,2017.0,1.0,-17.4609375,-3.095703125,4.521484375,-0.083984375,0.8800000000000001
84,2017.0,1.0,-17.4609375,-3.095703125,-4.501953125,0.611328125,0.704
85,2017.0,1.0,-17.4609375,-2.490234375,4.521484375,0.611328125,0.8320000000000001
86,2017.0,1.0,4.9609375,-3.095703125,4.521484375,0.611328125,0.784
87,2017.0,1.0,4.9609375,-2.490234375,-4.501953125,0.611328125,0.7
88,2017.0,1.0,4.9609375,-2.490234375,4.521484375,-0.083984375,0.8320000000000001
89,2017.0,1.0,4.9609375,-2.490234375,4.521484375,0.611328125,0.782
90,2017.0,1.0,2.5390625,1.904296875,0.498046875,0.916015625,0.7
91,2017.0,1.0,-15.0390625,1.904296875,0.498046875,0.916015625,0.736
92,2017.0,1.0,2.5390625,2.509765625,0.498046875,0.916015625,0.7
93,2017.0,1.0,2.5390625,1.904296875,-0.478515625,0.916015625,0.7
94,2017.0,1.0,2.5390625,1.904296875,0.498046875,-0.388671875,0.792
95,2017.0,1.0,2.5390625,2.509765625,-0.478515625,-0.388671875,0.776
96,2017.0,1.0,-15.0390625,1.904296875,-0.478515625,-0.388671875,0.8200000000000001
97,2017.0,1.0,-15.0390625,2.509765625,0.498046875,-0.388671875,0.8320000000000001
98,2017.0,1.0,-15.0390625,2.509765625,-0.478515625,0.916015625,0.718
99,2017.0,1.0,-15.0390625,2.509765625,-0.478515625,-0.388671875,0.8180000000000001
100,2017.0,1.0,12.5390625,-0.595703125,-2.001953125,-0.583984375,0.752
101,2017.0,1.0,-5.0390625,-0.595703125,-2.001953125,-0.583984375,0.794
102,2017.0,1.0,12.5390625,0.009765625,-2.001953125,-0.583984375,0.75
103,2017.0,1.0,12.5390625,-0.595703125,2.021484375,-0.583984375,0.812
104,2017.0,1.0,12.5390625,-0.595703125,-2.001953125,-0.888671875,0.776
105,2017.0,1.0,12.5390625,0.009765625,2.021484375,-0.888671875,0.8340000000000001
106,2017.0,1.0,-5.0390625,-0.595703125,2.021484375,-0.888671875,0.8740000000000001
107,2017.0,1.0,-5.0390625,0.009765625,-2.001953125,-0.888671875,0.8160000000000001
108,2017.0,1.0,-5.0390625,0.009765625,2.021484375,-0.583984375,0.8500000000000001
109,2017.0,1.0,-5.0390625,0.009765625,2.021484375,-0.888671875,0.8720000000000001
110,2017.0,1.0,-7.4609375,4.404296875,2.998046875,0.416015625,0.786
111,2017.0,1.0,14.9609375,4.404296875,2.998046875,0.416015625,0.734
112,2017.0,1.0,-7.4609375,-4.990234375,2.998046875,0.416015625,0.808
113,2017.0,1.0,-7.4609375,4.404296875,-2.978515625,0.416015625,0.7
114,2017.0,1.0,-7.4609375,4.404296875,2.998046875,0.111328125,0.808
115,2017.0,1.0,-7.4609375,-4.990234375,-2.978515625,0.111328125,0.746
116,2017.0,1.0,14.9609375,4.404296875,-2.978515625,0.111328125,0.7
117,2017.0,1.0,14.9609375,-4.990234375,2.998046875,0.111328125,0.782
118,2017.0,1.0,14.9609375,-4.990234375,-2.978515625,0.416015625,0.7
119,2017.0,1.0,14.9609375,-4.990234375,-2.978515625,0.111328125,0.7
120,2017.0,1.0,-2.4609375,-1.845703125,1.748046875,0.166015625,0.79
121,2017.0,1.0,19.9609375,-1.845703125,1.748046875,0.166015625,0.74
122,2017.0,1.0,-2.4609375,-1.240234375,1.748046875,0.166015625,0.788
123,2017.0,1.0,-2.4609375,-1.845703125,0.771484375,0.166015625,0.776
124,2017.0,1.0,-2.4609375,-1.845703125,1.748046875,-0.638671875,0.8480000000000001
125,2017.0,1.0,-2.4609375,-1.240234375,0.771484375,-0.638671875,0.8340000000000001
126,2017.0,1.0,19.9609375,-1.845703125,0.771484375,-0.638671875,0.784
127,2017.0,1.0,19.9609375,-1.240234375,1.748046875,-0.638671875,0.798
128,2017.0,1.0,19.9609375,-1.240234375,0.771484375,0.166015625,0.724
129,2017.0,1.0,19.9609375,-1.240234375,0.771484375,-0.638671875,0.784
130,2017.0,1.0,17.5390625,3.154296875,-3.251953125,-0.833984375,0.73
131,2017.0,1.0,-0.0390625,3.154296875,-3.251953125,-0.833984375,0.772
132,2017.0,1.0,17.5390625,3.759765625,-3.251953125,-0.833984375,0.728
133,2017.0,1.0,17.5390625,3.154296875,-4.228515625,-0.833984375,0.712
134,2017.0,1.0,17.5390625,3.154296875,-3.251953125,0.361328125,0.7
135,2017.0,1.0,17.5390625,3.759765625,-4.228515625,0.361328125,0.7
136,2017.0,1.0,-0.0390625,3.154296875,-4.228515625,0.361328125,0.7
137,2017.0,1.0,-0.0390625,3.759765625,-3.251953125,0.361328125,0.7
138,2017.0,1.0,-0.0390625,3.759765625,-4.228515625,-0.833984375,0.754
139,2017.0,1.0,-0.0390625,3.759765625,-4.228515625,0.361328125,0.7
140,2017.0,1.0,7.5390625,-4.345703125,4.248046875,0.666015625,0.774
141,2017.0,1.0,-10.0390625,-4.345703125,4.248046875,0.666015625,0.812
142,2017.0,1.0,7.5390625,1.259765625,4.248046875,0.666015625,0.76
143,2017.0,1.0,7.5390625,-4.345703125,3.271484375,0.666015625,0.762
144,2017.0,1.0,7.5390625,-4.345703125,4.248046875,0.861328125,0.762
145,2017.0,1.0,7.5390625,1.259765625,3.271484375,0.861328125,0.732
146,2017.0,1.0,-10.0390625,-4.345703125,3.271484375,0.861328125,0.786
147,2017.0,1.0,-10.0390625,1.259765625,4.248046875,0.861328125,0.784
148,2017.0,1.0,-10.0390625,1.259765625,3.271484375,0.666015625,0.784
149,2017.0,1.0,-10.0390625,1.259765625,3.271484375,0.861328125,0.77
150,2017.0,1.0,-12.4609375,0.654296875,-0.751953125,-0.333984375,0.808
151,2017.0,1.0,9.9609375,0.654296875,-0.751953125,-0.333984375,0.756
152,2017.0,1.0,-12.4609375,-3.740234375,-0.751953125,-0.333984375,0.8180000000000001
153,2017.0,1.0,-12.4609375,0.654296875,-1.728515625,-0.333984375,0.794
154,2017.0,1.0,-12.4609375,0.654296875,-0.751953125,-0.138671875,0.792
155,2017.0,1.0,-12.4609375,-3.740234375,-1.728515625,-0.138671875,0.79
156,2017.0,1.0,9.9609375,0.654296875,-1.728515625,-0.138671875,0.724
