,year,month,unc_h,unc_fld,unc_flu,unc_ta,eps,intercept
21,2017.0,1.0,1.2109375,-1.533203125,2.685546875,0.853515625,0.7459999999999998,0.0
22,2017.0,1.0,18.7890625,-3.427734375,2.685546875,0.853515625,0.7139999999999997,0.0
23,2017.0,1.0,18.7890625,-1.533203125,-2.041015625,0.853515625,0.6339999999999997,0.0
24,2017.0,1.0,18.7890625,-1.533203125,2.685546875,-0.701171875,0.8179999999999998,0.0
25,2017.0,1.0,18.7890625,-3.427734375,-2.041015625,-0.701171875,0.7539999999999998,0.0
26,2017.0,1.0,1.2109375,-1.533203125,-2.041015625,-0.701171875,0.7899999999999998,0.0
27,2017.0,1.0,1.2109375,-3.427734375,2.685546875,-0.701171875,0.8599999999999999,0.0
28,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,0.853515625,0.6839999999999997,0.0
29,2017.0,1.0,1.2109375,-3.427734375,-2.041015625,-0.701171875,0.7939999999999998,0.0
30,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,-0.146484375,0.7339999999999998,0.0
31,2017.0,1.0,-18.7890625,3.466796875,-2.314453125,-0.146484375,0.7779999999999998,0.0
32,2017.0,1.0,-1.2109375,1.572265625,-2.314453125,-0.146484375,0.7399999999999998,0.0
33,2017.0,1.0,-1.2109375,3.466796875,2.958984375,-0.146484375,0.8159999999999998,0.0
34,2017.0,1.0,-1.2109375,3.466796875,-2.314453125,0.298828125,0.6979999999999997,0.0
35,2017.0,1.0,-1.2109375,1.572265625,2.958984375,0.298828125,0.7859999999999998,0.0
36,2017.0,1.0,-18.7890625,3.466796875,2.958984375,0.298828125,0.8219999999999998,0.0
37,2017.0,1.0,-18.7890625,1.572265625,-2.314453125,0.298828125,0.7479999999999998,0.0
38,2017.0,1.0,-18.7890625,1.572265625,2.958984375,-0.146484375,0.8599999999999999,0.0
39,2017.0,1.0,-18.7890625,1.572265625,2.958984375,0.298828125,0.8259999999999998,0.0
40,2017.0,1.0,-6.2109375,-0.283203125,-3.564453125,-0.396484375,0.7579999999999998,0.0
41,2017.0,1.0,-13.7890625,-0.283203125,-3.564453125,-0.396484375,0.7759999999999998,0.0
42,2017.0,1.0,-6.2109375,2.822265625,-3.564453125,-0.396484375,0.7479999999999998,0.0
43,2017.0,1.0,-6.2109375,-0.283203125,-0.791015625,-0.396484375,0.7999999999999998,0.0
44,2017.0,1.0,-6.2109375,-0.283203125,-3.564453125,-0.951171875,0.7999999999999998,0.0
45,2017.0,1.0,-6.2109375,2.822265625,-0.791015625,-0.951171875,0.8359999999999999,0.0
46,2017.0,1.0,-13.7890625,-0.283203125,-0.791015625,-0.951171875,0.8599999999999999,0.0
47,2017.0,1.0,-13.7890625,2.822265625,-3.564453125,-0.951171875,0.8119999999999998,0.0
48,2017.0,1.0,-13.7890625,2.822265625,-0.791015625,-0.396484375,0.8099999999999998,0.0
49,2017.0,1.0,-13.7890625,2.822265625,-0.791015625,-0.951171875,0.8539999999999999,0.0
50,2017.0,1.0,13.7890625,4.716796875,1.435546875,0.603515625,0.6959999999999997,0.0
51,2017.0,1.0,6.2109375,4.716796875,1.435546875,0.603515625,0.7139999999999997,0.0
52,2017.0,1.0,13.7890625,-2.177734375,1.435546875,0.603515625,0.7199999999999998,0.0
53,2017.0,1.0,13.7890625,4.716796875,4.208984375,0.603515625,0.7399999999999998,0.0
54,2017.0,1.0,13.7890625,4.716796875,1.435546875,0.048828125,0.7379999999999998,0.0
55,2017.0,1.0,13.7890625,-2.177734375,4.208984375,0.048828125,0.7979999999999998,0.0
56,2017.0,1.0,6.2109375,4.716796875,4.208984375,0.048828125,0.7999999999999998,0.0
57,2017.0,1.0,6.2109375,-2.177734375,1.435546875,0.048828125,0.7759999999999998,0.0
58,2017.0,1.0,6.2109375,-2.177734375,4.208984375,0.603515625,0.7759999999999998,0.0
59,2017.0,1.0,6.2109375,-2.177734375,4.208984375,0.048828125,0.8139999999999998,0.0
60,2017.0,1.0,3.7890625,-2.783203125,-1.064453125,-0.896484375,0.8159999999999998,0.0
61,2017.0,1.0,16.2109375,-2.783203125,-1.064453125,-0.896484375,0.7879999999999998,0.0
62,2017.0,1.0,3.7890625,-4.677734375,-1.064453125,-0.896484375,0.8199999999999998,0.0
