,year,month,unc_h,unc_flu,unc_ta,eps
108,2017.0,1.0,17.5390625,-0.009765625,0.751953125,0.95
109,2017.0,1.0,-16.6796875,3.154296875,0.751953125,0.97
110,2017.0,1.0,-16.6796875,-0.009765625,-0.650390625,0.98
111,2017.0,1.0,-16.6796875,-0.009765625,0.751953125,0.962
112,2017.0,1.0,7.5390625,-4.345703125,0.849609375,0.944
113,2017.0,1.0,13.3203125,-4.345703125,0.849609375,0.942
114,2017.0,1.0,7.5390625,-2.509765625,0.849609375,0.948
115,2017.0,1.0,7.5390625,-4.345703125,0.251953125,0.95
116,2017.0,1.0,7.5390625,-2.509765625,0.251953125,0.954
117,2017.0,1.0,13.3203125,-4.345703125,0.251953125,0.948
118,2017.0,1.0,13.3203125,-2.509765625,0.849609375,0.946
119,2017.0,1.0,13.3203125,-2.509765625,0.251953125,0.952
120,2017.0,1.0,-12.4609375,0.654296875,-0.150390625,0.974
121,2017.0,1.0,-6.6796875,0.654296875,-0.150390625,0.972
122,2017.0,1.0,-12.4609375,2.490234375,-0.150390625,0.978
123,2017.0,1.0,-12.4609375,0.654296875,-0.748046875,0.982
124,2017.0,1.0,-12.4609375,2.490234375,-0.748046875,0.986
125,2017.0,1.0,-6.6796875,0.654296875,-0.748046875,0.98
126,2017.0,1.0,-6.6796875,2.490234375,-0.150390625,0.976
127,2017.0,1.0,-6.6796875,2.490234375,-0.748046875,0.984
128,2017.0,1.0,-14.9609375,-1.220703125,0.974609375,0.956
129,2017.0,1.0,-19.1796875,-1.220703125,0.974609375,0.958
130,2017.0,1.0,-14.9609375,-4.384765625,0.974609375,0.95
131,2017.0,1.0,-14.9609375,-1.220703125,-0.873046875,0.98
132,2017.0,1.0,-14.9609375,-4.384765625,-0.873046875,0.974
133,2017.0,1.0,-19.1796875,-1.220703125,-0.873046875,0.982
134,2017.0,1.0,-19.1796875,-4.384765625,0.974609375,0.952
135,2017.0,1.0,-19.1796875,-4.384765625,-0.873046875,0.976
136,2017.0,1.0,5.0390625,3.779296875,-0.025390625,0.972
137,2017.0,1.0,0.8203125,3.779296875,-0.025390625,0.974
138,2017.0,1.0,5.0390625,0.615234375,-0.025390625,0.966
139,2017.0,1.0,5.0390625,3.779296875,0.126953125,0.97
140,2017.0,1.0,5.0390625,0.615234375,0.126953125,0.964
141,2017.0,1.0,0.8203125,3.779296875,0.126953125,0.972
142,2017.0,1.0,0.8203125,0.615234375,-0.025390625,0.968
143,2017.0,1.0,0.8203125,0.615234375,0.126953125,0.966
