start_date,fpar,fpar_qc,fpar_lai_qc,fpar_stdev,lai500,lai_stdev,start_date,Year,Month,Day,timestamp
2016-11-08,0.86,0.0,32.0,1.0,0.01,1.0,2016-11-08,2016,11,8,2016-11-08
2016-11-16,0.86,0.0,0.0,12.0,0.12,12.0,2016-11-16,2016,11,16,2016-11-16
2016-11-24,0.87,8.0,0.0,7.0,0.07,7.0,2016-11-24,2016,11,24,2016-11-24
2016-12-02,0.89,0.0,0.0,0.0,0.0,0.0,2016-12-02,2016,12,2,2016-12-02
2016-12-10,0.66,0.0,32.0,1.0,0.01,1.0,2016-12-10,2016,12,10,2016-12-10
2016-12-18,0.88,0.0,32.0,3.0,0.03,3.0,2016-12-18,2016,12,18,2016-12-18
2016-12-26,0.8200000000000001,8.0,105.0,3.0,0.03,3.0,2016-12-26,2016,12,26,2016-12-26
2017-01-01,0.89,0.0,0.0,3.0,0.03,3.0,2017-01-01,2017,1,1,2017-01-01
2017-01-09,0.85,0.0,0.0,248.0,2.48,248.0,2017-01-09,2017,1,9,2017-01-09
2017-01-17,0.9,0.0,0.0,0.0,0.0,0.0,2017-01-17,2017,1,17,2017-01-17
2017-01-25,0.88,48.0,32.0,1.0,0.01,1.0,2017-01-25,2017,1,25,2017-01-25
2017-02-02,0.89,0.0,32.0,1.0,0.01,1.0,2017-02-02,2017,2,2,2017-02-02
2017-02-10,0.81,0.0,0.0,1.0,0.01,1.0,2017-02-10,2017,2,10,2017-02-10
2017-02-18,0.89,0.0,0.0,248.0,2.48,248.0,2017-02-18,2017,2,18,2017-02-18
2017-02-26,0.89,0.0,0.0,248.0,2.48,248.0,2017-02-26,2017,2,26,2017-02-26
2017-03-06,0.88,0.0,32.0,2.0,0.02,2.0,2017-03-06,2017,3,6,2017-03-06
2017-03-14,0.89,32.0,32.0,5.0,0.05,5.0,2017-03-14,2017,3,14,2017-03-14
2017-03-22,0.92,0.0,0.0,248.0,2.48,248.0,2017-03-22,2017,3,22,2017-03-22
2017-03-30,0.9,8.0,0.0,5.0,0.05,5.0,2017-03-30,2017,3,30,2017-03-30
2017-04-07,0.89,0.0,97.0,248.0,2.48,248.0,2017-04-07,2017,4,7,2017-04-07
2017-04-15,0.9,8.0,32.0,2.0,0.02,2.0,2017-04-15,2017,4,15,2017-04-15
2017-04-23,0.9,64.0,0.0,0.0,0.0,0.0,2017-04-23,2017,4,23,2017-04-23
2017-05-01,0.9,0.0,0.0,0.0,0.0,0.0,2017-05-01,2017,5,1,2017-05-01
2017-05-09,0.89,8.0,32.0,1.0,0.01,1.0,2017-05-09,2017,5,9,2017-05-09
2017-05-17,0.9,8.0,32.0,7.0,0.07,7.0,2017-05-17,2017,5,17,2017-05-17
2017-05-25,0.9,0.0,0.0,1.0,0.01,1.0,2017-05-25,2017,5,25,2017-05-25
2017-06-02,0.8,0.0,0.0,0.0,0.0,0.0,2017-06-02,2017,6,2,2017-06-02
2017-06-10,0.9,32.0,0.0,1.0,0.01,1.0,2017-06-10,2017,6,10,2017-06-10
2017-06-18,0.9,32.0,0.0,0.0,0.0,0.0,2017-06-18,2017,6,18,2017-06-18
2017-06-26,0.9,8.0,32.0,5.0,0.05,5.0,2017-06-26,2017,6,26,2017-06-26
2017-07-04,0.88,8.0,32.0,12.0,0.12,12.0,2017-07-04,2017,7,4,2017-07-04
2017-07-12,0.9,0.0,97.0,5.0,0.05,5.0,2017-07-12,2017,7,12,2017-07-12
2017-07-20,0.9,0.0,32.0,3.0,0.03,3.0,2017-07-20,2017,7,20,2017-07-20
2017-07-28,0.9,0.0,32.0,4.0,0.04,4.0,2017-07-28,2017,7,28,2017-07-28
2017-08-05,0.27,0.0,32.0,2.0,0.02,2.0,2017-08-05,2017,8,5,2017-08-05
